chr1	248555000	248580000	chr1	248655000	248820000	5.993157908641538e-17
chr1	120775000	120875000	chr1	120990000	121005000	6.638197088168521e-05
chr1	247855000	247910000	chr1	248080000	248085000	0.004381583202110151
chr2	375000	380000	chr2	520000	600000	3.27656590371645e-07
chr2	21535000	21550000	chr2	21775000	21905000	0.0032889493752848156
chr2	50940000	50965000	chr2	51100000	51175000	0.03944196616773706
chr2	52090000	52115000	chr2	52240000	52365000	1.212622542940253e-11
chr2	52430000	52465000	chr2	52565000	52830000	3.993170396267776e-23
chr2	52615000	52640000	chr2	52740000	52820000	4.711619981598292e-05
chr2	67160000	67165000	chr2	67250000	67415000	2.631150180697993e-08
chr2	76110000	76115000	chr2	76495000	76585000	4.939950938173583e-07
chr2	76985000	77010000	chr2	77130000	77205000	1.6203742216914655e-13
chr2	77950000	77965000	chr2	78010000	78110000	2.058964085064244e-18
chr2	81465000	81480000	chr2	81975000	82050000	0.03552646480237766
chr2	82735000	82740000	chr2	83395000	83480000	2.6944681756968324e-11
chr2	82905000	82930000	chr2	83000000	83230000	1.098563341363169e-23
chr2	83445000	83460000	chr2	83535000	83640000	0.0011743530309608213
chr2	94875000	94890000	chr2	94935000	95135000	4.829952765684598e-06
chr2	106895000	106920000	chr2	106965000	107155000	9.606897340462392e-16
chr2	114825000	114830000	chr2	114960000	115015000	0.03083269162394896
chr2	122570000	122575000	chr2	123210000	123275000	0.00011921426293802862
chr2	123740000	123795000	chr2	123845000	123965000	3.5118400636544405e-05
chr2	129990000	130045000	chr2	130140000	130260000	3.1084915294406715e-06
chr2	140095000	140100000	chr2	140240000	140310000	1.7859493408680888e-09
chr2	140345000	140390000	chr2	140490000	140630000	0.02423545990764283
chr2	141295000	141330000	chr2	141560000	141670000	0.0039122838136678864
chr2	153290000	153295000	chr2	153360000	153490000	3.127491446110113e-09
chr2	163020000	163035000	chr2	163080000	163145000	0.010023378642673848
chr2	163680000	163695000	chr2	163740000	164270000	3.6544595267628715e-29
chr2	164085000	164090000	chr2	164155000	164275000	3.8782091031157644e-11
chr2	166945000	166980000	chr2	167055000	167180000	2.2003867569396688e-07
chr2	167565000	167590000	chr2	167660000	167770000	0.003359860774707828
chr2	183885000	183920000	chr2	183970000	184225000	2.322198318330156e-16
chr2	185430000	185445000	chr2	185485000	185665000	2.590227154073557e-26
chr2	185495000	185500000	chr2	185615000	185750000	1.7942234723751912e-09
chr2	187505000	187510000	chr2	187550000	187940000	4.730905564001346e-15
chr2	188015000	188020000	chr2	188095000	188155000	1.204180947170002e-07
chr2	192510000	192525000	chr2	192595000	192685000	4.643539036547214e-05
chr2	193830000	193855000	chr2	194095000	194200000	9.30820575118447e-06
chr2	210240000	210265000	chr2	210325000	210410000	0.0005583249667016806
chr2	210705000	210720000	chr2	210925000	211005000	0.007258888974835243
chr2	1320000	1395000	chr2	1475000	1490000	4.3935710123258324e-06
chr2	4635000	4760000	chr2	4820000	4835000	1.5162996706149776e-08
chr2	22280000	22360000	chr2	22430000	22435000	0.0037007358184886754
chr2	35460000	35590000	chr2	35630000	35655000	1.748305235871703e-16
chr2	50725000	50880000	chr2	50940000	50965000	1.4742923805815355e-17
chr2	65610000	65710000	chr2	66165000	66170000	7.746123135001375e-05
chr2	66240000	66355000	chr2	66885000	66890000	5.596988471815004e-07
chr2	67125000	67190000	chr2	67585000	67590000	0.023954620612466747
