chr1	2070000	2080000	chr1	4250000	4350000
chr1	2330000	2340000	chr1	4620000	5190000
chr1	2610000	2620000	chr1	2810000	5570000
chr1	5510000	5520000	chr1	5900000	6000000
chr1	5990000	6000000	chr1	8630000	8740000
chr1	9990000	10000000	chr1	12760000	12850000
chr1	10510000	10520000	chr1	10910000	11030000
chr1	12120000	12130000	chr1	12210000	12320000
chr1	13170000	13180000	chr1	13300000	15140000
chr1	15780000	15790000	chr1	15980000	16150000
chr1	16580000	16590000	chr1	17290000	18110000
chr1	18900000	18910000	chr1	19080000	19170000
chr1	19920000	19930000	chr1	20120000	20210000
chr1	23090000	23100000	chr1	23180000	23280000
chr1	26610000	26620000	chr1	26700000	26900000
chr1	27330000	27340000	chr1	28490000	28600000
chr1	27850000	27860000	chr1	27960000	28050000
chr1	29230000	29240000	chr1	30690000	30800000
chr1	30750000	30760000	chr1	31890000	32360000
chr1	40120000	40130000	chr1	40570000	40960000
chr1	42930000	42940000	chr1	44910000	45010000
chr1	43230000	43240000	chr1	43360000	43460000
chr1	43970000	43980000	chr1	44720000	44810000
chr1	45010000	45020000	chr1	45280000	45620000
chr1	51960000	51970000	chr1	54800000	54900000
chr1	58730000	58740000	chr1	59670000	59810000
chr1	65420000	65430000	chr1	66250000	66440000
chr1	65950000	65960000	chr1	66240000	66490000
chr1	66760000	66770000	chr1	66930000	67290000
chr1	68110000	68120000	chr1	68320000	69790000
chr1	70680000	70690000	chr1	71010000	71100000
chr1	72620000	72630000	chr1	74610000	74760000
chr1	74770000	74780000	chr1	75150000	75240000
chr1	78140000	78150000	chr1	78590000	78700000
chr1	84080000	84090000	chr1	86710000	86820000
chr1	84440000	84450000	chr1	84710000	84800000
chr1	86380000	86390000	chr1	86840000	87090000
chr1	87300000	87310000	chr1	87880000	88000000
chr1	93950000	93960000	chr1	95410000	95500000
chr1	100920000	100930000	chr1	101290000	101440000
chr1	107780000	107790000	chr1	108080000	108180000
chr1	110200000	110210000	chr1	110320000	110520000
chr1	112390000	112400000	chr1	112620000	112720000
chr1	113830000	113840000	chr1	113950000	114050000
chr1	116140000	116150000	chr1	116450000	116620000
chr1	116720000	116730000	chr1	116910000	117120000
chr1	119950000	119960000	chr1	120080000	120180000
chr1	145810000	145820000	chr1	147900000	148070000
chr1	153350000	153360000	chr1	153500000	153680000
chr1	156640000	156650000	chr1	158800000	158890000
chr1	157190000	157200000	chr1	157440000	157580000
