chr1	74170001	74210000	chr1	74170001	75790000	1620000	40000	66.7395181558416	96.0%	0.0885471898197242	-2.701894239192031
chr1	105870001	105920000	chr1	105870001	107400000	1530000	50000	77.98509675294207	98.0%	0.037037037037037	-5.10220539492043
chr1	106000001	106100000	chr1	106000001	107200000	1200000	100000	107.26286953941712	98.0%	0.0978835978835978	-4.7268398007314
chr1	194790001	194860000	chr1	193030001	194860000	1830000	70000	76.95178964824402	96.0%	0.0211640211640211	-5.327617149531313
chr1	195170001	195220000	chr1	193010001	195220000	2210000	50000	61.85120728043248	96.0%	0.0074231177094379	
chr1	243100001	243160000	chr1	241010001	243160000	2150000	60000	42.42919144405565	95.0%	0.0455991516436903	
chr4	68620001	68660000	chr4	68620001	69630000	1010000	40000	71.25437799020574	98.0%	0.0931216931216931	-9.591212969605806
chr6	20530001	20590000	chr6	20530001	22980000	2450000	60000	47.00095661417952	95.0%	0.0275132275132275	4.940889027798691
chr8	12540001	12590000	chr8	9010001	12590000	3580000	50000	18.18542310784583	97.0%	0.0222222222222222	-1.3025373393337103
chr8	135890001	135930000	chr8	135890001	136660000	770000	40000	99.52476509326348	99.0%	0.0984126984126984	-0.0006843255748719
chr10	17580001	17620000	chr10	17580001	18240000	660000	40000	131.44806960879018	99.0%	0.0873015873015873	0.2716520632323898
chr10	56620001	56670000	chr10	56620001	58680000	2060000	50000	63.893162609628405	95.0%	0.037037037037037	-4.191693518807198
chr12	78820001	78900000	chr12	77540001	78900000	1360000	80000	79.80144893726131	96.0%	0.0317460317460317	-3.597026377186788
chr12	130880001	130950000	chr12	130880001	131830000	950000	70000	116.0739691421189	99.0%	0.0867724867724867	0.2152231514999748
chr16	21450001	21490000	chr16	21450001	23720000	2270000	40000	64.38891188181708	99.0%	0.0518518518518518	-22.449365298016577
chr16	29530001	29580000	chr16	29100001	29580000	480000	50000	287.5996093880945	99.0%	0.0634920634920634	-2.0753975125340056
chr17	72080001	72120000	chr17	71470001	72120000	650000	40000	172.88959886996508	99.0%	0.0666666666666666	-0.0716532203711282
chr20	25850001	25890000	chr20	24970001	25890000	920000	40000	104.67233590949024	96.0%	0.0798941798941798	-0.7075285537994691
chr21	43440001	43510000	chr21	42920001	43510000	590000	70000	192.3321433778561	99.0%	0.0243386243386243	
